substance,common_name,alt_names,type,mechanism,source,evidence_floor,candidate,duke_uses,gn_mechanism,gn_warning,matched_chem,duke_activities,duke_superacts,n_cousins
Gymnema,Gymnema,,,,curated,preclinical_animal,True,,,,,,,0
Xian Mao (Curculigo),Xian Mao (Curculigo),Curculigo,,,curated,preclinical_animal,True,,,,,,,0
Gu Sui Bu (Drynaria),Gu Sui Bu (Drynaria),Drynaria,,,curated,preclinical_animal,True,,,,,,,0
Goldenseal (berberine-bearing),Goldenseal (berberine-bearing),berberine-bearing,,,curated,preclinical_animal,True,,,,,,,0
Butterbur (Petadolex),Butterbur (Petadolex),Petadolex,,,curated,preclinical_invitro,True,,,,,,,0
Budwig Diet (protocol),Budwig Diet (protocol),protocol,,,curated,mentioned,True,,,,,,,0
Adrenal Adaptogen Blend,Adrenal Adaptogen Blend,,,,curated,lore_only,False,,,,,,,0
Alkalinizing Blend,Alkalinizing Blend,,,alkalinizing,curated,lore_only,False,,,,,,,0
Aromatase-Support Blend,Aromatase-Support Blend,,,aromatase,curated,lore_only,False,,,,,,,0
EMF Neutralizer,EMF Neutralizer,,,,curated,lore_only,False,,,,,,,0
Autophagy Blend,Autophagy Blend,,,autophagy,curated,lore_only,False,,,,,,,0
Digestive Bitters,Digestive Bitters,,digestive,,curated,lore_only,False,,,,,,,0
Bioactive Colostrum,Bioactive Colostrum,,,,curated,lore_only,False,,,,,,,0
Biocidin (botanical blend),Biocidin (botanical blend),botanical blend,,,curated,lore_only,False,,,,,,,0
Bravo Yogurt (fermented probiotic),Bravo Yogurt (fermented probiotic),fermented probiotic,,,curated,lore_only,False,,,,,,,0
Digestive/Gallbladder Enzyme Blend,Digestive/Gallbladder Enzyme Blend,,digestive; gallbladder,,curated,lore_only,False,,,,,,,0
Adaptogen Tonic Blend,Adaptogen Tonic Blend,,,,curated,lore_only,False,,,,,,,0
Metal-Detox Binders,Metal-Detox Binders,,,,curated,lore_only,False,,,,,,,0
Biofilm Enzyme Blend,Biofilm Enzyme Blend,,,,curated,lore_only,False,,,,,,,0
Oil of Oregano,Oil of Oregano,,,,curated,lore_only,False,,,,,,,0
Salicylate Tonic,Salicylate Tonic,,,,curated,lore_only,False,,,,,,,0
Rentone (kidney tonic blend),Rentone (kidney tonic blend),kidney tonic blend,kidney,,curated,lore_only,False,,,,,,,0
Anti-Angiogenic Botanical Blend,Anti-Angiogenic Botanical Blend,,,angiogenic,curated,lore_only,False,,,,,,,0
Abelmoschus manihot,,,phytochemical,Cancer,Dr. Duke,,,Antitussive|Boil|Cancer|Cancer(Stomach)|Catarrh|Emmenagogue|Inflammation|Lubricative|Paper|Sore|Sore(Throat)|Sprain|Stomach,,pregnancy_caution,,,,0
Abelmoschus moschatus,,,phytochemical,Cancer,Dr. Duke,,,Ache(Stomach)|Aphrodisiac|Asthma|Bite(Snake)|Boil|Cancer|Carminative|Chest-Cold|Cold|Colic|Debility|Demulcent|Diuretic|Flu|Hoarseness|Hysteria|Insecticide|Itch|Medicine|Nerves|Perfume|Refrigerant|Repellant(Insect)|Rheumatism|Spasm|Stimulant|Stomach|Stomachic|Throat|Tonic|Vermifuge,,,,,,0
Abies balsamea,"Balsam,Canada",,phytochemical,Cancer,Dr. Duke,,,Anodyne|Burn|Cancer|Catarrh|Cold|Cough|Heart|Masticatory|Sore|Steam-Bath|Urogenital|Wart|Wound,,,,,,0
Abroma angusta,Thian Dam,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Abrus precatorius,,,phytochemical,Cancer,Dr. Duke,,,Abortifacient|Ache(Head)|Anodyne|Antidote|Aphrodisiac|Bilious|Bite(Snake)|Bladder|Blennorrhagia|Boil|CNS sedative|Cancer|Chest|Cold|Colic|Collyrium|Conjunctivitis|Contraceptive|Convulsion|Cough|Diarrhea|Diuretic|Dysuria|Emetic|Emollient|Enteritis|Epithelioma|Expectorant|Eye|Fatal|Fatality|Febrifuge|Fever|Fracture(Veterinary)|Freckle|Gastritis|Gingivitis|Gonorrhea|Gravel|Heart|Hemostat|Hoarseness|Homicide|Hookworms|Insomnia|Jaundice|Kidney|Laxative|Loin|Malaria|Masticatory|Myalgia|Night-Blindness|Ophthalmia|Ordeal|Pectoral|Poison|Puerperium|Purgative|Refrigerant|Rheumatism|Sedative|Skin|Sprue|Stomach|Styptic|Sweetener|Throat|Trachoma|Tuberculosis|Urogenital|Venereal|Vermifuge,,general_toxicity;pregnancy_caution,,,,0
Abutilon trisulcatum,,,phytochemical,Cancer,Dr. Duke,,,Asthma|Cancer,,,,,,0
Acacia catechu,,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Antiphlogistic|Asthma|Astringent|Bactericide|Boil|Bronchitis|Cancer|Colic|Cough|Detergent|Diarrhea|Digestive|Dysentery|Eruption|Expectorant|Gravel|Gum|Malaria|Masticatory|Mouth|Phthisis|Refrigerant|Skin|Sore|Stimulant|Stomatitis|Styptic|Throat|Tuberculosis|Tumor(Abdomen),,,,,,0
Acacia ferruginea,"Gumarabic,Indian",,phytochemical,Cancer,Dr. Duke,,,Astringent|Cancer,,,,,,0
Acacia nilotica,Babli,,phytochemical,Cancer,Dr. Duke,,,Cancer|Decongestant|Gall-Bladder|Sclerosis(Spleen),,,,,,0
Acacia sp,"Acacia,Gum",,phytochemical,Cancer,Dr. Duke,,,Cancer|Insecticide|Soap|Sore|Whitlow,,,,,,0
Acacia vera,Acacia,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Acalypha adenostachya,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Wound,,,,,,0
Acalypha hypogaea,Yerba De Cancer,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Acalypha langiana,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Acalypha lindheimeri,Yerba Del Cancer,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Acalypha phleoides,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Duodenum|Gingivitis|Internulcer|Odontitis|Sore|Stomach,,,,,,0
Acalypha septemloba,Yerba Del Cancer,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Acer pensylvanicum,Cancer Bush,,phytochemical,Cancer,Dr. Duke,,,Cancer|Eruption,,,,,,0
Achillea millefolium,Millefolium,,phytochemical,Cancer,Dr. Duke,,,Abcess|Ache(Back)|Ache(Ear)|Ache(Head)|Ache(Leg)|Ache(Tooth)|Antiseptic|Apertif|Astringent|Atony|Bite(Snake)|Bladder|Bruise|Cancer|Carminative|Cathartic|Cold|Colic|Condyloma|Cough|Cyanogenetic|Deodorant|Depurative|Diaphoretic|Dyspepsia|Emmenagogue|Enteritis|Enterorrhagia|Epistaxis|Expectorant|Eye|Febrifuge|Felon|Fever|Gastritis|Hematemesis|Hematochezia|Hematuria|Hemorrhage|Hemostat|Hypochondria|Kidney|Litholytic|Medicine|Nervine|Piles|Poultice|Puerperium|Rash|Rheumatism|Scurvy|Skin|Sore|Sore(Throat)|Spasm|Stimulant|Stomach|Sudorific|Swelling|Tonic|Tuberculosis|Vulnerary|Wound,,pregnancy_caution,,,,0
Acnistus arborescens,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Cold|Fever|Migraine|Mumps|Neuralgia,,,,,,0
Acnistus cauliflorus,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Acnistus plumieri,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Aconitum cammerum,Aconito De Flor Grande,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Aconitum chinense,,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Antispasmodic|Cancer|Nephritis|Sciatica,,,,,,0
Aconitum japonicum,,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Antispasmodic|Cancer|Poison|Tumor,,general_toxicity,,,,0
Aconitum napellus,Monk'Shood,,phytochemical,Cancer,Dr. Duke,,,Analgesic|Anesthetic|Anodyne|Antispasmodic|Cancer|Diuretic|Fever|Heart|Narcotic|Nerves|Neuralgia|Poison|Poison(Arrow)|Rheumatism|Sedative|Sudorific,,general_toxicity,,,,0
Aconitum sp,Mu Pieh Tzu,,phytochemical,Cancer,Dr. Duke,,,Ague|Alterative|Analgesic|Anesthesia|Anodyne|Arthritis|Cancer|Cardiotonic|Cholera|Deobstruent|Diaphoretic|Diuretic|Dropsy|Dysentery|Fever|Nerves|Neuralgia|Poison|Poison(Arrow)|Respiratory|Rheumatism|Sedative|Stimulant|Throat,,general_toxicity,,,,0
Acorus calamus,,,phytochemical,Cancer,Dr. Duke,,,Abortifacient|Ache(Head)|Ache(Stomach)|Ache(Tooth)|Alexiteric|Anorexia|Antidote(Euphorbiaceae)|Antiseptic|Apertif|Aphrodisiac|Arthritis|Asthma|Balsamic|Bite(Snake)|Breath|Bronchitis|Bubo|Burn|CNS stimulant|Cancer|Carbuncle|Carminative|Catarrh|Chest-Cold|Cold|Colic|Cough|Deafness|Dentifrice|Diarrhea|Digestive|Diuretic|Dysentery|Dyspepsia|Edema|Emetic|Emmenagogue|Epilepsy|Expectorant|Eye|Fever|Fumitory|Gangrene|Gastritis|Halitosis|Hallucinogen|Hearing|Hemoptysis|Hemorrhage|Hemostat|Insecticide|Laxative|Liqueur|Medicine|Menorrhagia|Mouthwash|Nerves|Nervine|Odontosis|Panacea|Parturition|Pediculicide|Pediculifuge|Perfume|Phthisis|Repellant(Insect)|Rheumatism|Sclerosis(Liver)|Sclerosis(Spleen)|Sclerosis(Stomach)|Sclerosis(Uterus)|Sedative|Sight|Skin|Snuff|Sore(Throat)|Spasm|Splenomegaly|Stimulant|Stomachic|Stroke|Sudorific|Tonic|Tuberculosis|Tumor(Abdomen)|Tumor(Glands)|Tumor(Rectum)|Tumor(Testicle)|Tumor(Vagina)|Venereal|Vermifuge,,pregnancy_caution,,,,0
Adenia lobata,,,phytochemical,Cancer,Dr. Duke,,,Abdomen|Ache(Rib)|Anodyne|Aphrodisiac|Bronchitis|Cancer|Cancer(Nose)|Cough|Diuretic|Enema|Fever|Gonorrhea|Liniment|Nose|Piles|Piscicide|Purgative|Rheumatism|Stomach,,,,,,0
Adonis vernalis,"Hellebore,Black",,phytochemical,Cancer,Dr. Duke,,,Cancer|Cardiac|Cardiotonic|Diuretic|Emmenagogue|Poison|Sedative|Stimulant|Vermifuge,,general_toxicity;pregnancy_caution,,,,0
Aethusa cynapium,Petite Cigue,,phytochemical,Cancer,Dr. Duke,,,Cancer|Cholera|Convulsion|Diarrhea|Gastritis|Intestine|Poison|Sedative|Spasm|Stomachic|Tumor,,general_toxicity,,,,0
Agave americana,Cocuiza,,phytochemical,Cancer,Dr. Duke,,,Ascites|Bruise(Veterinary)|Cancer|Cicatrizant|Depurative|Diuretic|Dysentery|Fiber|Hedge|Leukemia|Liqueur|Scurvy|Sore|Sprain(Veterinary)|Syphilis|Tumor|Wart,,,,,,0
Agrimonia eupatoria,Garclive,,phytochemical,Cancer,Dr. Duke,,,Astringent|Cancer|Cancer(Stomach)|Cardiotonic|Cholagogue|Coagulant|Depurative|Diuretic|Emmenagogue|Enterorrhagia|Enuresis|Gastrorrhagia|Hematuria|Hemostat|Liver|Metrorrhagia|Pharyngitis|Tonic|Tuberculosis|Vermifuge|Vulnerary|Wart,,pregnancy_caution,,,,0
Agropyron repens,Joula,,phytochemical,Cancer,Dr. Duke,,,Aperient|Astringent|Bladder|Cancer|Coffee|Cough|Cystitis|Demulcent|Depurative|Diuretic|Emmenagogue|Emollient|Sclerosis(Pylorus)|Sedative|Sudorific|Tumor,,pregnancy_caution,,,,0
Agrostemma githago,Cockle,,phytochemical,Cancer,Dr. Duke,,,Cancer|Diuretic|Dropsy|Emmenagogue|Expectorant|Jaundice|Poison|Vermifuge,,general_toxicity;pregnancy_caution,,,,0
Ailanthus altissima,,,phytochemical,Cancer,Dr. Duke,,,Antiseptic|Asthma|Astringent|Bactericide|Cancer|Cardiac|Cathartic|Deobstruent|Depressant|Diarrhea|Dysentery|Dysmenorrhea|Dysuria|Ejaculation|Emetic|Epilepsy|Eruption|Fever|Hair-Tonic|Heart|Hematochezia|Leucorrhea|Lung|Malaria|Metrorrhagia|Poison|Protisticide|Sore|Spasm|Spermatorrhea|Stomach|Taenifuge|Tapeworm|Tumor(Breast)|Vermifuge|Wet-Dream,,general_toxicity,,,,0
Ajuga chia,Chamaepityos,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Ajuga reptans,Bugle,,phytochemical,Cancer,Dr. Duke,,,Astringent|Cancer|Carminative|Deobstruent|Diuretic|Fever|Hemostat|Jaundice|Liver|Lung|Narcotic|Rheumatism|Spleen|Stomachic|Styptic|Tonic|Vulnerary,,,,,,0
Akebia quinata,Akebi,,phytochemical,Cancer,Dr. Duke,,,Antiphlogistic|Cancer|Circulation|Diaphoretic|Diuretic|Emmenagogue|Laxative|Stimulant|Stomachic|Tonic|Viscera|Vulnerary,,pregnancy_caution,,,,0
Albizia saponaria,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Dandruff|Impotency|Piscicide|Shampoo|Soap,,,,,,0
Allium cepa,Cabolla,,phytochemical,Cancer,Dr. Duke,,,Abscess|Ache(Ear)|Ache(Stomach)|Albuminuria|Alopecia|Anasarca|Antiseptic|Apertif|Aphrodisiac|Arteriosclerosis|Bactericide|Bile|Bite(Snake)|Bright's Disease|Bronchitis|Bubo|Cancer|Cancer(Liver)|Carminative|Cataract|Catarrh|Chest|Cold|Colic|Cough|Diaphoretic|Digestive|Diphtheria|Diuretic|Dropsy|Drowning|Dysentery|Ear|Edema|Emmenagogue|Enema|Expectorant|Fever|Flatulence|Flu|Fracture|Hangover|Hepatosis|Hydropsy|Hyperglycemia|Inflammation|Orchitis|Pectoral|Piles|Poison|Poultice|Preventitive|Preventitive(Bite(Snake))|Repellant|Repellant(Bat)|Repellant(Snake)|Rheumatism|Scarlatina|Scurvy|Sedative|Soporific|Sore(Throat)|Stimulant|Sting(Scorpion)|Stomachic|Suppurative|Tuberculosis|Tumor|Venereal|Vermifuge|Wart|Wound,,general_toxicity;pregnancy_caution,,,,0
Allium nipponicum,No-Biru,,phytochemical,Cancer,Dr. Duke,,,Amenorrhea|Cancer|Depurative|Diarrhea|Nerves,,,,,,0
Allium porrum,Prasium,,phytochemical,Cancer,Dr. Duke,,,Aphrodisiac|Arthritis|Cancer|Chest|Detersive|Digestive|Discutient|Diuretic|Ear|Emollient|Expectorant|Kidney|Resolvent|Scrofula|Stimulant|Stomachic,,,,,,0
Allium sativum,Ail,,phytochemical,Cancer,Dr. Duke,,,Ache(Ear)|Ache(Stomach)|Ache(Tooth)|Alopecia|Amebiasis|Antidote|Antidote(Scorpion)|Antiseptic|Antispasmodic|Arteriosclerosis|Arthritis|Ascaricide|Asthma|Bactericide|Bite(Bug)|Bite(Snake)|Bladder|Bronchiectasis|Bronchitis|Cancer|Carminative|Cold|Colic|Corn|Cough|Dandruff|Deafness|Demulcent|Diaphoretic|Diarrhea|Diphtheria|Diuretic|Dysentery|Dysmenorrhea|Dyspepsia|Emmenagogue|Expectorant|Fever|Flatulence|Gangrene|Hematuria|Hepatitis|Hypertension|Hypertensive|Hypotensive|Hysteria|Internulcer|Kidney|Leukemia|Lung|Lupus|Malaria|Malignancy|Nerves|Oliguria|Parasiticide|Parturition|Pertussis|Phthisis|Plague|Preventitive|Preventitive(Cancer)|Preventitive(Goiter)|Preventitive(Pestilence)|Repellant(Snake)|Rheumatism|Ringworm|Rubefacient|Scabies|Sclerosis|Sedative|Senescence|Skin|Sore|Spice|Spleen|Stimulant|Sting(Bee)|Stomach|Stomachic|Thirst|Throat|Tonic|Trachoma|Trichomoniasis|Tuberculosis|Tumor|Tumor(Abdomen)|Typhoid|Ulcer|Vaginitis|Vasodilator|Vermifuge|Wart|Wen|Whitlow|Witchcraft|Wound,,pregnancy_caution,,,,0
Alocasia indica,Kar Dard,,phytochemical,Cancer,Dr. Duke,,,Anasarca|Astringent|Bite(Snake)|Cancer|Diuretic|Laxative|Parasiticide|Poison|Sore|Tumor,,general_toxicity,,,,0
Alpinia galanga,Galangal,,phytochemical,Cancer,Dr. Duke,,,Bronchitis|Cancer|Cardiodepressant|Carminative|Catarrh|Digestive|Expectorant|Parturition|Rheumatism|Ringworm|Splenomegaly|Stimulant|Stomachic,,cardiac,,,,0
Alstonia scholaris,Pha Ya Sat Ta Ban,,phytochemical,Cancer,Dr. Duke,,,Ache(Head)|Ache(Leg)|Ache(Loin)|Ache(Tooth)|Alterative|Antidote(Antiaris)|Aphrodisiac|Asthma|Astringent|Beriberi|Boil|Bronchitis|Cancer|Cholera|Cough|Diabetes|Diarrhea|Dyschezia|Dysentery|Dyslactation|Enterosis|Expectorant|Fever|Hemiplegia|Hepatosis|Internal|Malaria|Nausea|Neuralgia|Panacea|Parturition|Phthisis|Piles|Pleurisy|Pneumonia|Poison(Arrow)|Rheumatism|Stomachic|Tonic|Tumor|Tumor(Glands)|Vermifuge,,general_toxicity,,,,0
Althaea officinalis,Marshmallow,,phytochemical,Cancer,Dr. Duke,,,Cancer|Catarrh|Cough|Demulcent|Emollient|Expectorant|Inflammation|Intestine|Lubricative|Mucous|Pectoral|Piles|Poultice|Respiratory|Sclerosis|Sore(Throat)|Tumor,,,,,,0
Amorphophallus konjac,Chu Jo,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Anacyclus officinarum,Piretron,,phytochemical,Cancer,Dr. Duke,,,Ache(Tooth)|Cancer|Insecticide|Mouthwash|Tincture,,,,,,0
Anagallis arvensis,Anagallide,,phytochemical,Cancer,Dr. Duke,,,Alterative|Antidote|Bite(Dog)|Brain|Cancer|Canicide|Cirrhosis|Depurative|Diaphoretic|Diuretic|Dropsy|Expectorant|Fungicide|Gall-Stone|Hirudicide|Insecticide|Leprosy|Lung|Nematicide|Nervine|Piscicide|Poison|Poison(Dog)|Rabies|Repellant(Leech)|Sore|Splinter|Sudorific,,general_toxicity,,,,0
Anagallis phoenicea,Murwe Do Timps,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Anchusa officinalis,Buglos,,phytochemical,Cancer,Dr. Duke,,,Astringent|Cancer|Diuretic|Emollient|Expectorant|Sedative|Tumor|Vulnerary,,,,,,0
Anemone nemorosa,Herbe Du Cancer,,phytochemical,Cancer,Dr. Duke,,,Antidote|Arthritis|Bronchitis|Cancer|Corn|Hyperemia|Nervine|Pleurisy|Poison|Tonic|Vesicant,,general_toxicity,,,,0
Anemopsis californica,Yerba Mansa,,phytochemical,Cancer,Dr. Duke,,,Cancer|Catarrh|Sore,,,,,,0
Angelica archangelica,Angelica,,phytochemical,Cancer,Dr. Duke,,,Cancer|Cancer(Stomach)|Carminative|Cordial|Diaphoretic|Emmenagogue|Expectorant|Liqueur|Nervine|Sedative|Spasm|Stimulant|Stomachic|Sudorific|Tonic,,pregnancy_caution,,,,0
Angelica sylvestris,Angelique De Bois,,phytochemical,Cancer,Dr. Duke,,,Abscess|Ache(Head)|Anhydrosis|Boil|Cancer|Cancer(Tongue)|Carminative|Chill|Diaphoretic|Flu|Parasiticide|Rheumatism,,,,,,0
Anogeissus latifolia,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Carbuncle|Cholera|Cold|Cough|Diarrhea|Dysuria|Face|Perspiration|Rinderpest,,,,,,0
Anthemis arvensis,Amarusca,,phytochemical,Cancer,Dr. Duke,,,Cancer|Fever|Resolvent|Tonic|Vermifuge,,,,,,0
Anthemis cotula,Amarusca,,phytochemical,Cancer,Dr. Duke,,,Amenorrhea|Cancer|Carminative|Diarrhea|Dyspepsia|Emetic|Emmenagogue|Fever|Insecticide|Sore|Spasm|Sting(Bee)|Tonic|Unguent|Vermifuge|Vulnerary,,pregnancy_caution,,,,0
Anthemis nobilis,Maythe,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Antiseptic|Cancer|Carminative|Cordial|Digestive|Hair-Dye|Nervine|Spasm|Stimulant|Stomachic|Sudorific|Tonic,,,,,,0
Anthemis tinctoria,Mawth,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Apios americana,Earthnut,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Haplopappus baylahuen,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Arctium lappa,Burdock Blood,,phytochemical,Cancer,Dr. Duke,,,Abscess|Acne|Alexiteric|Alterative|Antidote|Antiphlogistic|Aperient|Apertif|Aphrodisiac|Bactericide|Boil|Burn|Cancer|Carminative|Catarrh|Cold|Corn|Cough|Depurative|Diaphoretic|Diuretic|Edema|Estrogenic|Eye|Fever|Flu|Food|Fungicide|Gonorrhea|Gout|Hair-Tonic|Hoarseness|Hyperglycemia|Impetigo|Infection|Insecticide|Laxative|Measles|Parotitis|Pertussis|Piles|Pneumonia|Poultice|Prurigo|Psoriasis|Refrigerant|Rheumatism|Scarlet-Fever|Scrofula|Skin|Smallpox|Sore|Sore(Throat)|Stomachic|Sty|Sudorific|Swelling|Syphilis|Throat|Tonsillitis|Tumor|Tumor(Glands)|Tumor(Spleen),,,,,,0
Arctium minus,Burdock Blood,,phytochemical,Cancer,Dr. Duke,,,Ache(Stomach)|Alterative|Asthma|Bruise|Cancer|Cough|Depurative|Diaphoretic|Diuretic|Emmenagogue|Lung|Medicine|Sudorific|Tumor,,pregnancy_caution,,,,0
Argemone mexicana,Cardo Santo,,phytochemical,Cancer,Dr. Duke,,,Ache(Head)|Ache(Tooth)|Anodyne|Antidote(Scorpion)|Antifertility|Aperient|Bladder|Cancer|Cancer(Nose)|Catarrh|Cathartic|Chancre|Cold|Colic|Demulcent|Depurative|Dermatosis|Diuretic|Emetic|Eruption|Excrescence|Expectorant|Eye|Fever|Hemostat|Herpes|Inflammation|Itch|Kidney|Laxative|Narcotic|Ophthalmia|Parturition|Pinkeye|Placenta|Poison|Puerperium|Purgative|Rheumatism|Scabies|Sedative|Skin|Soap|Sore|Wart,,general_toxicity,,,,0
Argemone platyceras,Cardosanto,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Cancer|Depurative|Emetic|Emmenagogue|Hemostat|Kidney|Placenta|Puerperium|Sudorific|Vulnerary,,pregnancy_caution,,,,0
Arisaema triphyllum,Indian Turnip,,phytochemical,Cancer,Dr. Duke,,,Ache(Head)|Aptha|Asthma|Bactericide|Bite(Snake)|Bronchitis|Cancer|Carminative|Colic|Cough|Diaphoretic|Diuretic|Expectorant|Eye|Felon|Homicide|Insecticide|Irritant|Lung|Medicine|Pertussis|Poison|Polyp(Nose)|Poultice|Rheumatism|Ringworm|Sore|Stimulant|Stomatitis|Sudorific|Swelling|Tuberculosis|Vesicant|Whitlow,,general_toxicity,,,,0
Aristolochia clematitis,Birthwort,,phytochemical,Cancer,Dr. Duke,,,Cacoethes|Cancer|Cancer(Breast)|Cancer(Nose)|Depurative|Parturition|Poison|Polyp(Nose)|Stimulant|Tumor|Tumor(Uterus)|Vulnerary,,general_toxicity,,,,0
Aristolochia contorta,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Cough,,,,,,0
Aristolochia cymbifera,Guaco,,phytochemical,Cancer,Dr. Duke,,,Asthma|Cancer|Diaphoretic|Diarrhea|Diuretic|Emmenagogue|Stimulant,,pregnancy_caution,,,,0
Aristolochia reticulata,Serpentery,,phytochemical,Cancer,Dr. Duke,,,Cancer|Medicine|Stimulant|Typhoid,,,,,,0
Aristolochia sempervirens,Long Birthwort,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Armoracia rusticana,Horseradish,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Apertif|Cancer|Carminative|Depurative|Diaphoretic|Digestive|Diuretic|Lumbago|Pectoral|Poison|Scurvy|Stimulant|Sudorific,,general_toxicity,,,,0
Arnica montana,Arnica,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Cancer|Cancer(Intestine)|Cardiotonic|Discutient|Diuretic|Expectorant|Fever|Hemostat|Irritant|Nervine|Poison|Sternutatory|Tonic|Vulnerary,,general_toxicity,,,,0
Arum italicum,Colubrina,,phytochemical,Cancer,Dr. Duke,,,Bite(Snake)|Cacoethes|Cancer|Carcinoma|Dyspepsia|Expectorant|Incisive|Palsy|Poison|Polyp(Nose)|Rheumatism|Stroke|Ulcer|Vesicant,,general_toxicity,,,,0
Arum repens,Bastard Vanilla,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Arundo donax,Arundo,,phytochemical,Cancer,Dr. Duke,,,Antilactogogue|Cancer|Diuretic|Hypertension|Hypotension|Sudorific|Syphilis,,,,,,0
Asclepias speciosa,Common Milkweed,,phytochemical,Cancer,Dr. Duke,,,Ache(Stomach)|Antiseptic|Arthritis|Bite(Snake)|Breast|Callus|Cancer|Corn|Cough|Masticatory|Measles|Poultice|Rheumatism|Ringworm|Sore|Swelling|Tuberculosis|Wound,,,,,,0
Asclepias syriaca,,,phytochemical,Cancer,Dr. Duke,,,Alterative|Asthma|Bronchitis|Cancer|Cathartic|Cicatrizant|Cough|Diaphoretic|Diuretic|Dyspepsia|Emetic|Expectorant|Fever|Gonorrhea|Laxative|Medicine|Mole|Nervine|Pleurisy|Pneumonia|Poison|Rheumatism|Ringworm|Sore|Tumor|Wart|Wound,,general_toxicity,,,,0
Aspalathus indica,Shevenar Vaymboo,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Atropa belladonna,Belladonna,,phytochemical,Cancer,Dr. Duke,,,Anodyne|Antidote|Antispasmodic|Anydrotic|Bruise|Cancer|Cancer(Uterus)|Carcinoma|Diuretic|Fever|Mydriatic|Narcotic|Nervine|Poison|Rheumatism|Sedative|Spasm|Stimulant|Tetanus|Tumor(Breast)|Tumor(Joint),,general_toxicity,,,,0
Avena fatua,Wildoat,,phytochemical,Cancer,Dr. Duke,,,Cancer|Parturition|Placenta|Tumor(Parotid)|Uterotonic,,pregnancy_caution,,,,0
Begonia crassiostus,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Bellis perennis,Bellorita,,phytochemical,Cancer,Dr. Duke,,,Blood-Vessel|Cancer|Cold|Depurative|Discutient|Diuretic|Frunculosis|Hematemesis|Hematuria|Hemorrhage|Hemostat|Leucorrhea|Pectoral|Pleurisy|Resolvent|Spasm|Stomachic|Tonic|Tumor|Vulnerary,,,,,,0
Betula alba,Bouleau,,phytochemical,Cancer,Dr. Duke,,,Astringent|Bilious|Breast|Cancer|Dandruff|Depurative|Digestive|Diuretic|Fever|Gonorrhea|Hairblack|Jaundice|Rheumatism|Skin|Sore|Stimulant|Sudorific,,,,,,0
Bixa orellana,Uruku,,phytochemical,Cancer,Dr. Duke,,,Ache(Head)|Antidote|Aphrodisiac|Astringent|Burn|Cancer|Coloring|Cordial|Cosmetic|Depurative|Diabetes|Diuretic|Douche|Dysentery|Epilepsy|Erysipelas|Excitant|Fainting|Fever|Flu|Gonorrhea|Hair-Oil|Inflammation|Jaundice|Kidney|Malaria|Oliguria|Parasiticide|Purgative|Refrigerant|Repellant(Insect)|Stomachic|Stomatitis|Styptic|Throat|Tumor|Unguent|Venereal,,,,,,0
Bocconia frutescens,Yanali,,phytochemical,Cancer,Dr. Duke,,,Ache(Tooth)|Anesthetic|Aposteme|Bronchitis|Cancer|Cataplasm|Caustic|Chilblain|Collyrium|Dropsy|Emetic|Eruption|Itch|Jaundice|Mycosis|Ophthalmia|Parasiticide|Pediculicide|Poison|Purgative|Repellant(Insect)|Rubefacient|Sedative|Skin|Sore|Tumor|Ulcer|Vermifuge|Wart|Wound,,general_toxicity,,,,0
